"ANIO FISCAL","MES FISCAL","TIPO CONTRIBUYENTE","ACTIVIDAD ECONÓMICA","IMPUESTO CAUSADO (601)","IMP A PAGAR POR PERCEPCION (699)","IMP A PAGAR POR RETENCION (799)","TOTAL COMPRAS LOCALES E IMPORTAC (519)","TOTAL VENTAS Y EXPORTACIONES (419)"
"2012","6","SOCIEDADES","C107109","6731.78","6679.69","46.31","53398.5","97488.05"
"2012","6","SOCIEDADES","C110301","2504811.75","2504811.75","2129200.91","3.12003521E7","4.923192216E7"
"2012","7","SOCIEDADES","C105001","362662.23","303901.74","149232.2","1.969244889E7","2.379603416E7"
"2012","7","SOCIEDADES","C105002","36755.17","36755.17","31054.75","2195959.36","2077749.48"
"2012","7","SOCIEDADES","C105004","2990.07","2817.69","2206.02","744386.18","792583.66"
"2012","7","SOCIEDADES","C105005","1636346.14","1562573.79","235850.23","1.546188991E7","2.789110369E7"
"2012","7","SOCIEDADES","C105006","33852.86","33852.86","14475.37","4354915.39","4859198.57"
"2012","7","SOCIEDADES","C105009","46233.11","34349.49","17744.64","2441830.59","3204536.23"
"2012","7","SOCIEDADES","C105010","0.53","0.53","0.0","4000.89","24408.91"
"2012","7","SOCIEDADES","C107101","918793.24","496212.82","99161.23","1.254785981E7","1.98005437E7"
"2012","7","SOCIEDADES","C107102","263905.65","252457.41","28876.23","3157820.39","4588555.32"
"2012","7","SOCIEDADES","C107109","4561.58","4251.65","142.58","64097.87","69632.63"
"2012","7","SOCIEDADES","C110301","3473262.59","3473262.59","617492.67","2.509528041E7","5.116851057E7"
"2012","8","SOCIEDADES","C105001","138478.2","118281.03","146278.15","2.055135534E7","2.356591499E7"
"2012","8","SOCIEDADES","C105002","35818.58","35818.58","29264.05","2052511.39","1980882.46"
"2012","8","SOCIEDADES","C105004","3027.49","2844.41","1584.5","671539.59","826579.06"
"2012","8","SOCIEDADES","C105005","376756.02","366732.23","1022268.81","2.736980274E7","2.819239621E7"
"2012","8","SOCIEDADES","C105006","38030.63","38030.63","24197.96","4380200.54","4979339.91"
"2012","8","SOCIEDADES","C105009","32862.19","29909.77","20775.4","2706927.5","3218542.04"
"2012","8","SOCIEDADES","C105010","0.5","0.5","10.0","2695.93","9858.41"
"2012","8","SOCIEDADES","C107101","518027.76","487936.23","115780.09","1.389071758E7","1.74005283E7"
"2012","8","SOCIEDADES","C107102","274058.03","264183.75","36800.63","3410243.81","4843745.36"
"2012","8","SOCIEDADES","C107109","6100.41","5781.06","191.61","70851.11","97233.21"
"2012","8","SOCIEDADES","C110301","3089840.97","3089840.97","799823.08","2.930971218E7","5.222953653E7"
"2012","9","SOCIEDADES","C105001","571147.19","300272.05","119081.39","1.763511923E7","2.44097675E7"
"2012","9","SOCIEDADES","C105002","3490.6","3490.6","19387.01","1741782.54","1631450.27"
"2012","9","SOCIEDADES","C105004","2637.15","2499.08","1664.88","593099.47","769348.79"
"2012","9","SOCIEDADES","C105005","348219.0","344089.23","642475.7","2.500025671E7","2.495708076E7"
"2012","9","SOCIEDADES","C105006","36423.57","36423.57","16385.01","4230689.89","4976397.55"
"2012","9","SOCIEDADES","C105009","32068.77","28468.97","20668.14","2307865.3","2925626.27"
"2012","9","SOCIEDADES","C105010","0.46","0.46","0.0","2308.01","6172.64"
"2012","9","SOCIEDADES","C107101","429647.35","401854.92","152302.87","1.358373589E7","1.69138379E7"
"2012","9","SOCIEDADES","C107102","245986.0","236257.1","32671.63","3535591.45","4553532.73"
"2012","9","SOCIEDADES","C107109","6524.66","6136.48","557.09","102923.32","215794.58"
"2012","9","SOCIEDADES","C110301","1911602.91","1911602.91","316384.34","3.106516772E7","4.521330389E7"
"2012","10","SOCIEDADES","C105001","316354.57","310914.42","129337.81","1.760453171E7","2.256706331E7"
"2012","10","SOCIEDADES","C105002","1413.0","1413.0","50139.35","2275674.82","2380561.72"
"2012","10","SOCIEDADES","C105004","3113.9","2945.04","1770.47","617561.6","882466.47"
"2012","10","SOCIEDADES","C105005","729551.43","721043.94","244169.09","2.011272303E7","2.344211303E7"
"2012","10","SOCIEDADES","C105006","39838.38","39838.38","10178.65","4170091.42","5081933.51"
"2012","10","SOCIEDADES","C105009","31657.36","28976.9","26286.16","2683967.64","3269073.25"
"2012","10","SOCIEDADES","C105010","0.5","0.5","0.0","136114.8","199681.1"
"2012","10","SOCIEDADES","C107101","644699.92","618295.2","151592.41","1.470652118E7","1.972017747E7"
"2012","10","SOCIEDADES","C107102","297413.24","278929.57","43816.21","3509972.09","4388363.9"
"2012","10","SOCIEDADES","C107109","6791.95","4686.03","580.26","175860.67","228312.37"
"2012","10","SOCIEDADES","C110301","3072913.68","2975990.99","1170937.04","2.981855066E7","5.293086428E7"
"2012","11","SOCIEDADES","C105001","388566.11","369025.07","125515.85","1.689275705E7","2.144961339E7"
"2012","11","SOCIEDADES","C105002","340.19","340.19","23863.98","1970275.02","2057136.23"
"2012","11","SOCIEDADES","C105004","3287.99","3067.78","3713.33","838241.0","864232.49"
"2012","11","SOCIEDADES","C105005","359609.58","353904.45","947496.44","2.415477639E7","2.462094166E7"
"2012","11","SOCIEDADES","C105006","12963.9","12963.9","11137.57","4719437.38","4911964.86"
"2012","11","SOCIEDADES","C105009","25278.62","23193.89","23193.25","2800555.62","3818549.02"
"2012","11","SOCIEDADES","C105010","0.55","0.55","0.0","256814.95","283535.44"
"2012","11","SOCIEDADES","C107101","746707.02","712590.5","173072.79","1.453140382E7","2.041027361E7"
"2012","11","SOCIEDADES","C107102","265374.08","249895.64","36247.36","3667211.35","4708575.29"
"2012","11","SOCIEDADES","C107109","7776.38","5601.17","615.33","153473.44","229334.23"
"2012","11","SOCIEDADES","C110301","3624702.97","3509351.58","779286.18","2.46755784E7","5.284394571E7"
"2012","12","SOCIEDADES","C105001","316430.39","229173.22","176688.31","1.961685861E7","2.23352337E7"
"2012","12","SOCIEDADES","C105002","129140.42","129140.42","17364.76","1947423.99","3285122.53"
"2012","12","SOCIEDADES","C105004","3616.12","3377.81","5566.1","942416.08","993012.84"
"2012","12","SOCIEDADES","C105005","336625.05","328071.09","956719.32","2.54101966E7","2.53917776E7"
"2012","12","SOCIEDADES","C105006","130795.92","130795.92","13957.36","4791873.26","5712179.12"
"2012","12","SOCIEDADES","C105009","43812.6","41327.0","22276.96","3205548.2","3712818.66"
"2012","12","SOCIEDADES","C105010","0.0","0.0","17.16","192740.51","334418.04"
"2012","12","SOCIEDADES","C107101","210396.33","165223.1","226371.62","1.417766546E7","1.866385509E7"
"2012","12","SOCIEDADES","C107102","353101.02","322167.46","47846.06","3590858.57","5787798.22"
"2012","12","SOCIEDADES","C107109","5579.05","5554.05","1372.5","316346.13","221736.6"
"2012","12","SOCIEDADES","C110301","5369467.14","5369467.14","366224.63","2.214878008E7","6.530052077E7"
"2013","1","SOCIEDADES","C105001","318985.11","276185.06","129375.65","1.823586408E7","2.188141865E7"
"2013","1","SOCIEDADES","C105002","26359.03","26359.03","8899.82","1310570.0","1663406.73"
"2013","1","SOCIEDADES","C105004","2949.63","2865.71","1619.77","796154.39","844639.56"
"2013","1","SOCIEDADES","C105005","848647.48","841930.67","527091.61","1.662111493E7","2.21456794E7"
"2013","1","SOCIEDADES","C105006","47625.86","47625.86","30880.78","5301219.22","5283083.8"
"2013","1","SOCIEDADES","C105009","36680.31","34488.72","22967.23","2913471.01","3416975.76"
"2013","1","SOCIEDADES","C105010","0.6","0.6","0.0","295962.41","310402.51"
"2013","1","SOCIEDADES","C107101","1163498.6","1052908.88","96367.96","9308417.26","2.051055279E7"
"2013","1","SOCIEDADES","C107102","276725.1","269211.4","30935.73","3085380.92","4610258.32"
"2013","1","SOCIEDADES","C107109","5292.62","4977.0","1462.84","126626.96","99611.37"
"2013","1","SOCIEDADES","C110301","4832948.24","4832948.24","822206.7","2.037160278E7","5.803244729E7"
"2013","2","SOCIEDADES","C105001","360534.71","355832.39","122046.53","1.682680883E7","1.917363939E7"
"2013","2","SOCIEDADES","C105002","2425.63","2425.63","12045.5","2086664.21","1835829.53"
"2013","2","SOCIEDADES","C105004","1619.84","1582.8","1299.82","891801.75","808437.2"
"2013","2","SOCIEDADES","C105005","1041963.9","1035404.32","486428.81","1.67006351E7","2.441684253E7"
